Mouse,Infart,Tail_curvature_C_contra_ 24H,Tape removal_contra_ 24H,Tape removal_ipsi_ 24H,Tape removal_contra_ 48H,Tape removal_ipsi_ 48H,Tape removal_contra_ 72H,Tape removal_ipsi_ 72H,Distance_contra_ 24H,Distance_ipsi_ 24H,Distance_contra_ 48H,Distance_ipsi_ 48H,Distance_contra_ 72H,Distance_ipsi_ 72H,vm_nose_contra_ 48H,vm_nose_ipsi_ 48H,vm_tail_end_contra_ 48H,vm_tail_end_ipsi_ 48H,vm_paw_IPSI_contra_ 48H,vm_paw_IPSI_ipsi_ 48H,vm_paw_IPSI_contra_ 72H,vm_paw_IPSI_ipsi_ 72H,vm_paw_CONTRA_contra_ 48H,vm_paw_CONTRA_ipsi_ 48H,vm_paw_CONTRA_contra_ 72H,vm_paw_CONTRA_ipsi_ 72H,vm_paw_ipsi_contra_ 48H,vm_paw_ipsi_ipsi_ 48H,vm_paw_contra_contra_ 48H,vm_paw_contra_ipsi_ 48H,d_Paws_contra_ 48H,d_Paws_ipsi_ 48H
629,4.7,18.294277060417663,18.383333333333333,33.916666666666664,42.183333284423334,21.56666661929134,14.155030534351145,3.534852165413753,14.585979194437051,97.68331976214907,51.042526991804706,39.863544597168264,14.059397990849135,12.824805036860951,3.1049628442274235,5.240022056328707,2.6181831138062956,3.3393748004814556,2.737777467922284,5.272439659896694,2.1717146090868935,6.24123603408913,2.197236158672712,3.9050839688677,2.7935073499739307,4.3268195463466315,1.7068213813571698,2.3695180714640722,1.3734216054570196,1.7991366785409808,1.7686461022023905,1.7243869683820436
631,20.5,0.5716798592788038,44.79999998164894,29.116666652794652,38.733333333333334,29.383333304148472,12.528793997668998,6.263974516762307,39.83795698687977,45.23036483554144,18.500990397619578,20.323386195089896,3.9631091350471968,19.659697199785597,2.8083039976136694,3.672754555270105,1.1985884273498024,2.1445117272518153,2.120979774062239,2.2005724616254083,1.342087110917542,4.0696279889969365,1.8200253829167767,2.799435432768059,1.5514693914113864,3.4831794438970545,0.6920882643598175,0.8112639048128363,0.6595816054515824,1.1796637882684107,1.5124091381884357,1.94055754717529
633,4.1,18.29263852299257,35.516666666666666,35.81666662167502,155.2666666,7.4333333150246315,23.516666666666666,27.616666619414318,32.65661247271639,37.33935130524783,8.111058292144833,17.739381422398175,10.617414148379389,16.259229886162068,1.067347217691344,4.751665574741411,0.35726409353309246,2.2586099432310722,0.9102797181318564,3.6835221247442926,2.208779123967912,2.6472416649136106,0.6753384785493085,3.5601642969623932,1.1822889557876448,2.020562505781449,1.2586770668560148,2.361017768664819,0.39614514766748743,1.40379046724738,0.9258752774020067,1.2831685159024946
636,0,0,5.3999999633278755,5.383333333333333,27.349999951855672,10.649999978304598,6.383333299999999,9.433333300000001,17.588273207959638,18.279525840495943,11.494024432530953,22.754125028565518,4.820794772768619,14.980139429625709,1.7911371572432007,4.154048748906582,1.2222535045803524,3.7500902791046133,1.4849541815063891,3.423858776217264,2.671287558617691,3.4777689990002396,1.0352691521341832,3.2330750544883142,3.27972538186949,2.8714327724303823,0.7948463932609104,2.121166775234802,0.58731878222469025,1.689049754420165,1.7270897148017275,1.7493602156029127
637,0,2.2082799580761616,8.74999995,4.6,3.7,15.983333285245902,10.683333300000001,7.3833333118226605,27.561757552779913,15.868252930246811,13.043790873340217,17.951089123851844,6.929869087700544,13.20042169167357,3.616679007420936,3.1301702254210797,5.698549791391364,2.081052018955914,3.5746578410636207,2.2175632413713884,1.3429418305349916,3.3883081859778468,1.7339737531578996,2.0819057713340188,1.1294990498567348,3.051564759812309,2.475133084321234,1.6449633802774715,1.5686917573795947,1.3016286775372212,1.4227357101950993,1.671399343066787
638,0,7.094594594594595,8.866666606756757,16.84999995,14.833333301541096,14.883333324175826,14.1,3.783333320853081,3.0217666980872453,3.1630290731941884,11.356147027067301,9.034346676092149,20.709456437090562,1.795510246801503,2.646835703231127,2.073407521582718,1.8838478924065913,1.4757331703818828,1.510244384299215,1.2573471550516007,2.9031966092679156,1.747557888589635,1.4173200609315137,2.2350830970817928,4.160825313263921,1.5298258400344036,0.9769054427327423,0.6579305748065913,0.9162799173868459,0.48933988859457334,1.8925104328894937,2.092061498276988
640,0,5.3977272727272725,7.966666644034091,14.783333305233464,34.916666633333335,12.099999976142133,4.349999987708333,12.29999994628821,36.573683807159114,17.43489013073431,12.609911671620264,15.656798193196007,4.9422802462349935,9.825109591514904,1.1939074418070268,4.76894880765038,0.8240427567232034,2.8889015230565493,0.7824689184757565,3.204104032515074,2.56238172309259,1.2701700371453497,0.8701764302758754,3.1152059617301373,2.949934181229981,1.5289607080621663,1.107186136578545,1.383036663458503,0.6990487206353526,1.2357089832434944,1.3836499637580677,1.9020782969378198
641,7,12.944983818770226,58.733333333333334,12.599999949999999,38.31666661908141,26.26666663609935,37.19999997097812,15.066666640838708,254.88225097586889,11.908782543457153,98.81356600201377,21.593452563817575,112.34570575299101,15.452626908712933,5.777316200949873,2.2817033002246685,4.5931517932836945,1.8362345929497526,4.437612790400551,1.8245384812402519,3.773763512778639,1.6952273762616543,4.446173104882242,1.3889372093914656,3.6779468361909453,1.3113212364718043,3.0591362804991595,1.3458891627229284,2.5241476377919625,1.02095460986403,2.1294488808195324,1.2817318703923175
642,27.1,6.511870606631199,26.599999961491903,20.19999993815201,134.16666665,138.44999998345185,113.09999996720168,11.366666639667459,20.113699212610758,22.18335505905153,300.57768132028013,456.2906983504041,70.18168190833552,13.436075539332432,2.338392455068943,3.2935640282771463,4.656536856582404,5.199540415758026,1.1847859688385751,2.2637818570701373,1.9368201018900268,1.9991824794984332,1.9097611981269584,2.5434911246964687,2.598024722325983,2.1966696072151484,1.7950564104331659,1.528311344233327,1.78576888597226,3.0694007116553204,1.5315932877282012,1.4999924714668391
643,38,16.08044733044733,33.983333333333334,17.816666621510983,73.3,28.1,106.23333330295918,62.46666665226843,106.07154755131216,54.326744824561786,90.47879342507639,18.036299944888306,94.93375182513438,19.415439541802513,3.281986730560533,3.538977928433611,3.2142730338376273,2.0412575096783483,2.2210222290270716,3.078669267597218,1.3847848943391616,1.3735284835571715,2.5866238614938437,1.6853408858971686,1.3776763202225717,1.0375423999955407,1.2335373694281124,0.8732199590538042,1.5572192278076897,0.8549394896868616,1.5057309162681827,1.2699668379840354
644,0,0,0,0,15.433333311891891,7.3,4.56666663964497,11.149999981223628,0,0,76.8919808691667,42.722741513236485,12.42441411231676,10.055575230721528,7.491833226564166,8.630665077537046,5.817505500268489,7.212378712461619,5.434378058688984,6.243398061590646,3.7825354687331156,2.3938423936652984,5.981789891603833,8.157332718499077,4.4519804178273406,2.0591315147840574,4.753845993608396,5.6497289152594785,3.6171569969905724,6.105640112919651,1.9735703933853228,1.8817386413107657
645,36.1,24.230929518815284,68.93333330453649,22.01666662447761,83.49999993947083,39.38333330239632,114.99999993577214,8.333333281249999,171.25592481081225,30.339304210924332,84.71340863921552,28.587237904964603,16.15105126415522,26.012942562947803,2.716226285294901,2.1690246754921065,1.3649359435300146,1.3275677860181758,2.634267064458,1.9900776718651958,0.6147456711900395,3.842208768925904,1.8725406415336248,2.2055595421410628,0.39168741494760423,4.564909351499339,1.2061723456068818,1.1213407053813564,1.2142634534869414,1.157483338034283,2.7874758654563703,1.5966052475458823
646,0,2.117078715544189,4.449999999999999,4.34999997393365,10.816666666666666,4.916666655520833,9.299999952842228,18.033333303990432,19.39475367121578,23.85954697651832,14.403649964423082,8.439549473105204,11.131950891505488,0.623902831507573,4.57571057725339,4.035169629434696,3.436541778662975,3.081055455452976,2.7561232619206195,2.7089643107325343,2.2817452201840274,1.8771130552988438,2.9011181196978346,2.5095108136191118,2.6477076905604466,1.034878632075615,1.1161993342806236,1.9152310346212231,1.374882129444743,1.691032378361902,1.3884308828074121,1.3337777417713095
647,0,0.37453183520599254,7.333333303526735,9.766666628356164,17.45,8.616666641825859,10.0833333,12.583333314901962,10.247536121357072,39.21912242734507,15.753827241197738,13.882144827975686,8.874182398553545,20.926585801349503,4.966935468429864,4.894808829613338,3.30711275353128,2.6220636559487907,3.415247445174944,3.157211007679977,2.2307902551500263,2.0255060229811024,3.226551510126846,3.6000368838772214,3.7783408126811775,1.9901152380437634,2.522967761108222,2.117543862088793,1.5620727730306567,2.0081079276982186,1.1896318373247272,1.3602309314649013
648,0,15.348278013666318,17.849999985906038,10.89999998576176,10.349999990236856,6.233333306267236,18.11666663448034,4.36666665,25.626332264744114,39.10528856773774,27.891434937670187,7.850688970340073,13.473156043867014,1.9416631147037764,5.569597757610295,4.232973220010438,3.2964477866664113,3.438991240578833,4.550789992200057,4.56123758143293,1.860000301516909,2.351489960042146,5.346629095556057,7.573055780654978,2.8783551524781448,2.131030228216703,1.708400992164483,1.583327533156198,2.5400145183424607,0.6121816946316436,1.6350819149292266,1.7865115285943585
649,56.5,4.7265625,85.3333333,21.133333333333333,136.79999996666666,165.16666666666669,62.149999968713786,60.216666599999996,148.91124214082723,29.61319511848967,0.7872575451053039,5.947748087667138,5.758538671329678,0.5254850377756093,0.8063149947646115,0.7524421179206896,0.24060685782301405,0.4809710560058328,0.3472460455215739,0.3689495058103963,1.1094660633859141,0.48707161603510113,0.4322710336508836,0.5534672749151435,1.6696996797579597,0.3768636415404251,0.38235901517488613,0.18359769721293956,0.3712773045379553,0.3601067336854059,1.236460986532168,1.1552748138993323
650,40.4,16.676950332468923,155.86666661746352,22.716666623092134,148.9999999683309,93.01666662167419,103.1,33,88.47220530257673,61.75779499234639,96.63510664877776,22.396852174385927,3.426789332394378,3.8720519768062047,2.420421615942747,1.3284250702309752,1.9150393180525,0.8444678509593422,1.3361357543011358,0.831658973945719,0.32848344766993137,0.8285214915636665,1.522892916527266,0.8582342861366568,0.21341811357729823,1.318847514821164,1.0070290346135147,0.35637034595400646,1.199414386612231,0.534994271017931,1.5764545943821833,1.1923106673322088
651,0,2.8750540423692175,9.999999984630351,8.866666627428007,6.916666666666666,35.566666620626826,4.7166666196875,15.483333319656992,14.471206581650588,12.635875800202243,14.853868429934824,20.994221194504302,4.626822787300617,12.703854141622456,5.278627863982768,2.827319088267519,4.286463651120324,1.2574690130765713,3.261505683187015,1.5749932296876303,1.997168407560686,1.787998374775274,4.138141696698867,2.01285903395719,2.392247970097445,1.6519057615963937,1.4482142592323148,0.6978678669140153,2.3424070796417005,0.6910447526540726,2.023686236521721,1.8299262658379818
652,0,11.014959027663203,11.616666651567398,15.099999966666665,9.78333330577818,15.066666604174575,8.549999940470588,5.183333303667954,14.76475001494252,4.517022623148224,12.761018443874228,4.653223457568149,1.6194256078255287,1.0151734716971206,5.793933719573368,4.389099964038299,2.9272044342487824,1.165516902922731,3.431758061422212,2.399589312288546,1.3684931482932938,2.1583595800074944,3.7761871233711375,1.9210477744416155,2.073432468322688,2.2050336344753427,1.1072459670813186,0.5700028125364611,0.8738176689750417,0.41128057928957695,1.7342121691928585,1.7230015046575629
653,35,6.458123107971746,64.09999993531787,19.899999935902848,0,13.216666636134455,79.06666665,9.633333308115184,229.1665501825326,17.990510910886446,0,9.317513746942891,17.84456893623314,23.439871456461304,0,3.4698141426101254,0,2.258109650088435,0,2.436062013054355,0.7505845957834141,3.633518324828189,0,1.7247718514373949,1.1260654336862779,4.030372803950439,0,0.9228141243283017,0,1.1340352623623464,0,1.485151602289418
654,22.7,1.1916965401581976,32.816666634624696,31.433333270945415,9.833333290439189,9.533333304593176,27.366666666666667,28.233333316666666,56.51348504436635,59.439242557658005,19.65246087536221,23.99545081504708,10.058958263357813,8.781802142407816,5.677821730047848,6.564984388634697,4.486914544699918,4.424332307058882,4.034210967005791,4.856647988584176,1.2451266876193383,2.429757823020533,3.5867466747441314,4.890624458415235,1.2407652993669842,1.290009097381352,1.9696237077080656,2.154398128356512,1.1934047371441747,2.667587890569414,1.6783200353016,1.6044682707963587
655,0,4.046242774566474,6.149999978413839,4.6999999491891895,9.399999986193029,6.899999945707349,14.066666652824857,4.6,14.07078608615524,11.488969407470488,17.015625569229904,4.884308604099947,23.040591406750867,2.7779634497773933,4.306403346737978,4.176039003931628,1.8212604396574088,1.3700703021407676,3.182284575713035,2.3779416385041547,3.035097622852266,2.2493108649933995,5.193102086083794,2.2172042476455616,3.6172980806458535,3.0481752778770876,1.039631332143141,0.8015753677844488,1.250385609033551,0.952082739641879,1.811791798488016,1.5350520880049578
656,0,0.2777777777777778,4.133333314184397,4.1000000000000005,4.216666642830541,4.833333287142857,9.56666665,2.766666654402515,20.626703544678094,20.48417453673571,23.07571604989233,18.293120611597907,35.11403817807987,14.775969514236426,7.9185520920232495,8.27681023730203,7.0693143559515494,8.016876881246612,5.5692147550802,6.0841403055648655,4.64112204333642,5.8163025504568875,5.820774222832055,6.697180836682673,4.121231558243222,5.116799199220692,3.8187060434231626,2.8706035209911516,3.8452527776898835,3.534650536753886,1.5044662899859946,1.7503621473399962
657,42.1,2.0163566259345957,98.28333330311614,45.53333330205843,129.11666664999998,18.7333333,96.1833333,16.399999984808744,156.59334468216792,141.70006666757783,178.04502652640434,21.94817521873069,68.78197973181771,36.34102633192181,3.4405108837415805,2.346988347588234,2.6842082982076745,1.8768397683857831,2.4523585556622245,1.8488312241606277,1.0919974245386117,3.2316421509324744,2.914615435893002,1.700743188663914,1.189419417673004,2.706405853480093,2.032975894572586,1.219151606667545,2.1666402250088135,1.6257474782979964,1.495706552611532,0.9560688082232248
